Occluded Flow Section K values,,,
Time (sec),K Value,,
0,0.1688,,
10,0.2317,,
20,0.2498,,
30,0.2482,,
40,0.2365,,
55,0.1586,,
70,0.158,,
85,0.1498,,
100,0.1773,,
,,,
Time (sec),K Value,,
0,0.19456,,
10,0.2283,,
20,0.2225,,
30,0.2326,,
40,0.2278,,
55,0.2055,,
70,0.2135,,
85,0.2079,,
100,0.2125,,
,,,
Time (sec),K Value,,
0,0.2062,,
10,0.2377,,
20,0.2084,,
30,0.179,,
40,0.1844,,
55,0.1892,,
70,0.1948,,
85,0.1689,,
100,0.1747,,
,,,
Time (sec),K Value,,
0,0.297975,,
10,0.304012,,
20,0.29022,,
30,0.325005,,
40,0.24401,,
55,0.263378,,
70,0.280628,,
85,0.265684,,
100,0.167974,,
,,,
Time (sec),K Value,,
0,0.3629,,
10,0.3869,,
20,0.3409,,
30,0.3679,,
40,0.3891,,
55,0.3172,,
70,0.3014,,
85,0.3183,,
100,0.2785,,
,,,
Time (sec),K Value,,
0,0.2213,,
10,0.2536,,
20,0.2469,,
30,0.2314,,
40,0.2383,,** originally missing image
55,0.1659,,
70,0.1825,,
85,0.1804,,
100,0.2018,,
,,,
Time (sec),K Value,,
0,0.2913,,
10,0.3702,,
20,0.3683,,
30,0.3996,,
40,0.3849,,
55,0.3636,,
70,0.3176,,
85,0.3459,,
100,0.3427,,
,,,
Time (sec),K value,,
0,0.0991,,
15,0.1537,,
30,0.1376,,
45,0.2329,,
75,0.1452,,
105,0.1225,,
135,0.0994,,
165,0.1107,,
195,0.0956,,
,,,
Time,K Value,,
0,0.3241,,
10,0.3739,,
20,0.3726,,
30,0.3526,,
40,0.272,,
55,0.2381,,
70,0.2493,,
85,0.2512,,
100,0.2105,,
,,,
Time (sec),K values,,
0,0.470531831,,
10,0.4879,,
20,0.485278562,,
30,0.486276164,,
40,0.48885474,,
55,0.473626035,,
70,0.472884555,,
85,0.474674263,,
100,0.473097794,,
,,,
Time,K,,
0,0.1953,,
10,0.1999,,
20,0.2054,,
30,0.2051,,
40,0.2637,,
55,0.2385,,
70,0.211,,
85,0.1852,,
100,0.1852,,
,,,
Time,K,,
0,0.2919,,
10,0.2322,,
20,0.2299,,
30,0.1775,,
40,0.1775,,
55,0.114,,
70,0.2035,,
85,0.2175,,
100,0.1971,,
,,,
Time (s),K,,
0,0.2551,,
10,0.2736,,
20,0.2835,,
30,0.2943,,
40,0.2883,,
55,0.2537,,
70,0.2632,,
85,0.2903,,
100,0.2904,,
,,,
Time (s),K,,
0,0.3184,,
10,0.3263,,
20,0.3513,,
30,0.3551,,
40,0.3597,,
55,0.3390,,
70,0.3394,,
85,0.3428,,
100,0.3437,,
,,,
Time (s),K,,
0,0.1410,,
10,0.2534,,
20,0.2840,,
30,0.2827,,
40,0.2957,,
55,0.2202,,
70,0.2549,,
85,0.2535,,
100,0.2346,,
,,,
Time (sec),K Value,,
0,0.1453,,
10,0.1693,,
20,0.1766,,
30,0.1817,,
40,0.174,,
55,0.1266,,
70,0.1173,,
85,0.1347,,
100,0.1423,,
,,,
Time (s),K,,
0,0.3485,,
10,0.3558,,
20,0.3633,,
30,0.3634,,
40,0.3699,,
55,0.3035,,
70,0.3031,,
85,0.3063,,
100,0.3223,,
,,,
Time (sec),K Value,,
,0.1843,,
0,0.198,,
10,0.2024,,
20,0.2005,,
30,0.207,,
40,0.204,,
55,0.1825,,
70,0.1811,,
85,0.184,,
100,0.195,,