Time (sec),K Value,,1
0,0.3098,,
15,0.3598,,
30,0.3486,,
45,0.3178,,
75,0.3129,begin recovery,
105,0.3272,,
135,0.2931,,
165,0.3023,,
195,0.2797,,
225,0.2765,,
,,,
Time (sec),K Value,,2
0,0.20522,,
15,0.2323,,
30,0.2260,,
45,0.2111,,
60,0.2200,,
75,0.2279,,
90,0.2278,,
105,0.2136,,
120,0.1933,stop holding breath,
135,0.2456,,
150,0.1893,,
165,0.1966,,
180,0.1823,,
210,0.2202,,
240,0.2260,,
270,0.1875,,
300,0.22639,,
,,,
Time,K,,11
0,0.2719,,
15,0.2984,,
30,0.2961,,
45,0.2933,,
60,0.2522,stop holding,
90,0.2569,,
120,0.2499,,
150,0.2969,,
180,0.2833,,
210,0.2646,,
240,0.2257,,
,,,
Time (s),K,,17
0,0.2762,basline,
15,0.2865,holding breath,
30,0.3007,end of breath holding,
60,0.2783,,
90,0.2693,,
120,0.2673,,
150,0.2866,,
180,0.3027,,
210,0.2746,,
300,0.1399234271,,
360,0.1157126423,,
420,0.1223,,
480,0.1171,,